Form ID	Editor ID	Perk1 EditorID	Perk1 ID	Perk2 EditorID	Perk2 ID	Perk3 EditorID	Perk3 ID	Required Item ID	Required Item Editor ID	Amount	Created Item Form ID	Created Item Editor ID
0024A334	VRWorkshopShared_co_VRSettlerSummonBell							0001FAB7	c_Plastic	2	0024A316	VRWorkshopShared_WorkshopBell01
0024A333	VRWorkshopShared_co_VREnemyMarker_YaoGuai							0001FAB7	c_Plastic	1	0024A304	VRWorkshopShared_AttackMarker_YaoGuai
0024A332	VRWorkshopShared_co_VREnemyMarker_SuperMutantBehemoth							0001FAB7	c_Plastic	1	0024A303	VRWorkshopShared_AttackMarker_SuperMutantBehemoth
0024A331	VRWorkshopShared_co_VREnemyMarker_Stingwing							0001FAB7	c_Plastic	1	0024A30F	VRWorkshopShared_AttackMarker_Stingwing
0024A330	VRWorkshopShared_co_VREnemyMarker_SentryBot							0001FAB7	c_Plastic	1	0024A313	VRWorkshopShared_AttackMarker_SentryBot
0024A32F	VRWorkshopShared_co_VREnemyMarker_RaiderDog							0001FAB7	c_Plastic	1	0024A30A	VRWorkshopShared_AttackMarker_RaiderDog
0024A32E	VRWorkshopShared_co_VREnemyMarker_Radscorpion							0001FAB7	c_Plastic	1	0024A307	VRWorkshopShared_AttackMarker_RadScorpion
0024A32D	VRWorkshopShared_co_VREnemyMarker_Radroach							0001FAB7	c_Plastic	1	0024A305	VRWorkshopShared_AttackMarker_RadRoach
0024A32C	VRWorkshopShared_co_VREnemyMarker_Protectron							0001FAB7	c_Plastic	1	0024A312	VRWorkshopShared_AttackMarker_Protectron
0024A32B	VRWorkshopShared_co_VREnemyMarker_MrGutsy							0001FAB7	c_Plastic	1	0024A311	VRWorkshopShared_AttackMarker_MrGutsy
0024A32A	VRWorkshopShared_co_VREnemyMarker_Molerat							0001FAB7	c_Plastic	1	0024A314	VRWorkshopShared_AttackMarker_Molerat
0024A329	VRWorkshopShared_co_VREnemyMarker_MirelurkKing							0001FAB7	c_Plastic	1	0024A30E	VRWorkshopShared_AttackMarker_MirelurkKing
0024A328	VRWorkshopShared_co_VREnemyMarker_Gorilla							0001FAB7	c_Plastic	1	0024A30B	VRWorkshopShared_AttackMarker_Gorilla
0024A327	VRWorkshopShared_co_VREnemyMarker_Mirelurk							0001FAB7	c_Plastic	1	0024A30C	VRWorkshopShared_AttackMarker_Mirelurk
0024A326	VRWorkshopShared_co_VREnemyMarker_FeralGhoulGlowing							0001FAB7	c_Plastic	1	0024A302	VRWorkshopShared_AttackMarker_FeralGhoulGlowing
0024A325	VRWorkshopShared_co_VREnemyMarker_FeralGhoul							0001FAB7	c_Plastic	1	0024A315	VRWorkshopShared_AttackMarker_FeralGhoul
0024A324	VRWorkshopShared_co_VREnemyMarker_Deathclaw							0001FAB7	c_Plastic	1	0024A306	VRWorkshopShared_AttackMarker_Deathclaw
0024A323	VRWorkshopShared_co_VREnemyMarker_Alien							0001FAB7	c_Plastic	1	0024A301	VRWorkshopShared_AttackMarker_Alien
0024A322	VRWorkshopShared_co_VREnemyMarker_Courser							0001FAB7	c_Plastic	1	0024A300	VRWorkshopShared_AttackMarker_Courser
0024A321	VRWorkshopShared_co_VREnemyMarker_Synth							0001FAB7	c_Plastic	1	0024A2FF	VRWorkshopShared_AttackMarker_Synth
0024A320	VRWorkshopShared_co_VREnemyMarker_Raider							0001FAB7	c_Plastic	1	0024A2FE	VRWorkshopShared_AttackMarker_Raider
0024A31F	VRWorkshopShared_co_VRPodWorkshop							0001FABD	c_Steel	6	0024A33A	VRWorkshopShared_VRPod_Workshop
0024A31F	VRWorkshopShared_co_VRPodWorkshop							0001FA9C	c_Copper	2	0024A33A	VRWorkshopShared_VRPod_Workshop
0024A31F	VRWorkshopShared_co_VRPodWorkshop							0001FAA4	c_Glass	4	0024A33A	VRWorkshopShared_VRPod_Workshop
0024A31F	VRWorkshopShared_co_VRPodWorkshop							0001FA9B	c_Circuitry	2	0024A33A	VRWorkshopShared_VRPod_Workshop
0024A31E	VRWorkshopShared_co_VREnemyMarker_SuperMutant							0001FAB7	c_Plastic	1	0024A2FD	VRWorkshopShared_AttackMarker_SuperMutant
0024A31D	VRWorkshopShared_co_VREnemyMarker_Gunner							0001FAB7	c_Plastic	1	0024A2FC	VRWorkshopShared_AttackMarker_Gunner
0024A31C	VRWorkshopShared_co_VREnemyMarker_Bloodbug							0001FAB7	c_Plastic	1	0024A309	VRWorkshopShared_AttackMarker_Bloodbug
0024A31B	VRWorkshopShared_co_VREnemyMarker_Assaultron							0001FAB7	c_Plastic	1	0024A310	VRWorkshopShared_AttackMarker_Assaultron
0024A31A	VRWorkshopShared_co_VRSettlerSummonAlarm							0001FAB7	c_Plastic	2	0024A2FA	VRWorkshopShared_WorkshopSiren01
0024A0A0	workshop_co_Bar03Counter	CapCollector02	000D75E2	LocalLeader02	001D2468			0001FAC2	c_Wood	5	0024A08E	WorkshopBar03Counter
