Form ID	Editor ID	Leaf Amplitude	Leaf Frequency	Trunk Flexibility	Branch Flexibility	Leaf Flexibility	Trunk Amplitude	Front Amplitude	Back Amplitude	Side Amplitude	Front Frequency	Back Frequency	Side Frequency
FormID: 00004D13	TestCloth02	10.000000	10.000000	10.000000	10.000000	1.000000	0.400000	0.300000	0.400000	0.340000	5.000000	5.000000	4.000000
FormID: 00000012	HorseMarker	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00000001	DoorMarker	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00000015	MultiBoundMarker	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00000017	PlaneMarker	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 0000001F	RoomMarker	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00000020	PortalMarker	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00000021	CollisionMarker	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00000023	LODClipVolume	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 0000003B	XMarker	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00000034	XMarkerHeading	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00000032	COCMarkerHeading	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00000010	MapMarker	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00000002	TravelMarker	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00000003	NorthMarker	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00000006	TempleMarker	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00000005	DivineMarker	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00000062	WaterCurrentMarker	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00000061	CellWaterCurrentMarker	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 000000C4	WaterCurrentZoneMarker	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 000000C2	SplineEndpointMarker	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00000064	FurnitureMarker01Sit	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00000065	FurnitureMarker02Lay	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00000066	FurnitureMarker03Lean	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00000067	FurnitureMarker04	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00000068	FurnitureMarker05	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 000001F7	LightBox	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249EF1	workshop_MeatTotem02	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249EF0	workshop_MeatTotem01	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249EEF	workshop_MeatTotem04	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249EEE	workshop_MeatTotem03	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249EEC	workshop_RaiderCampCage02	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249EDA	workshop_PictureFramePortrait07	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249ED9	workshop_PictureFramePortrait06	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249ED8	workshop_PictureFramePortrait05	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249ED7	workshop_PictureFramePortrait04	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249ED6	workshop_PictureFramePortrait03	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249ED5	workshop_PictureFramePortrait02	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249ED4	workshop_PictureFramePortrait01	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249ED2	workshop_PictureAbstractRect01Framed02L	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249ED1	workshop_PictureAbstractRect01Framed02K	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249ED0	workshop_PictureAbstractRect01Framed02J	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249ECF	workshop_PictureAbstractRect01Framed02I	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249ECE	workshop_PictureAbstractRect01Framed02H	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249ECD	workshop_PictureAbstractRect01Framed02G	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249ECC	workshop_PictureAbstractRect01Framed02F	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249ECB	workshop_PictureAbstractRect01Framed02E	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249ECA	workshop_PictureAbstractRect01Framed02D	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249EC9	workshop_PictureAbstractRect01Framed02C	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249EC8	workshop_PictureAbstractRect01Framed02B	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249EC7	workshop_PictureAbstractRect01Framed02A	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249EC6	workshop_PictureAbstractRect01Framed01K	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249EC5	workshop_PictureAbstractRect01Framed01J	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249EC4	workshop_PictureAbstractRect01Framed01I	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249EC3	workshop_PictureAbstractRect01Framed01H	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249EC2	workshop_PictureAbstractRect01Framed01G	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249EC1	workshop_PictureAbstractRect01Framed01F	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249EC0	workshop_PictureAbstractRect01Framed01E	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249EBF	workshop_PictureAbstractRect01Framed01D	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249EBD	workshop_PictureAbstractRect01Framed01C	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249EBC	workshop_PictureAbstractRect01Framed01B	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249EBB	workshop_PictureAbstractRect01Framed01A	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249EB9	workshop_SignDrugs01	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249EB8	workshop_SignPoliceGeneric03	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249EB7	workshop_NoTrespassing	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249EB6	workshop_SignClutterK05	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249EB5	workshop_SignClutterK04	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249EB4	workshop_SignClutterK03	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249EB3	workshop_SignClutterK02	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
FormID: 00249EB2	workshop_SignClutterK01	1.000000	1.000000	--	--	--	--	--	--	--	--	--	--
